,binned_ws,mean_ws,mean_power,mean_rho,mean_Temp_C,mean_pressure,mean_rel_humidity,std_power,min_power,max_power,count,Cp,s_i,u_i,u_c
0,2.0,2.022,-0.233,1.197,14.815,993.576,68.919,1.635,-0.946,5.209,239,-0.022,0.106,4.260,4.261
1,2.5,2.540,-0.097,1.224,11.638,1003.755,73.730,4.876,-1.917,43.482,662,-0.005,0.189,4.260,4.264
2,3.0,3.010,0.571,1.234,10.148,1005.807,77.280,6.524,-2.889,93.535,1099,0.016,0.197,4.260,4.265
3,3.5,3.501,6.616,1.229,10.272,1002.828,76.351,12.562,-2.478,90.832,1255,0.119,0.355,4.260,4.275
4,4.0,4.003,24.437,1.232,9.568,1002.296,77.582,15.064,-1.876,105.797,1420,0.293,0.400,4.261,4.279
5,4.5,4.501,45.234,1.231,9.624,1001.923,78.085,15.650,10.244,179.281,1650,0.381,0.385,4.262,4.279
6,5.0,4.996,65.263,1.228,9.607,999.856,79.282,16.894,14.963,206.482,1593,0.402,0.423,4.263,4.284
7,5.5,5.499,90.556,1.225,9.850,998.215,77.840,21.076,33.050,259.913,1361,0.419,0.571,4.265,4.303
8,6.0,5.992,119.352,1.228,9.490,999.175,78.216,29.579,48.919,388.212,1327,0.427,0.812,4.268,4.345
9,6.5,6.504,156.191,1.226,9.597,997.720,78.905,32.641,75.870,319.189,1182,0.437,0.949,4.274,4.378
10,7.0,7.005,195.976,1.230,9.058,999.290,78.336,37.219,97.628,385.770,1193,0.438,1.078,4.281,4.414
11,7.5,7.489,239.849,1.233,8.767,1000.389,79.099,45.852,115.617,564.898,1115,0.439,1.373,4.290,4.504
12,8.0,7.989,289.919,1.231,8.855,999.705,78.885,53.459,101.243,483.498,969,0.437,1.717,4.303,4.633
13,8.5,8.485,346.874,1.230,9.222,1000.135,77.094,53.726,170.045,567.902,817,0.436,1.880,4.320,4.711
14,9.0,8.984,412.424,1.231,8.907,999.413,77.272,60.716,216.411,644.196,643,0.437,2.394,4.344,4.960
15,9.5,9.483,480.180,1.226,9.118,996.044,76.777,60.735,248.220,687.437,479,0.433,2.775,4.372,5.178
16,10.0,9.994,540.033,1.226,9.261,996.969,74.774,62.704,337.174,775.673,412,0.416,3.089,4.400,5.376
17,10.5,10.496,602.460,1.226,8.657,994.836,75.698,67.340,356.623,757.727,408,0.401,3.334,4.433,5.547
18,11.0,10.996,665.262,1.228,8.382,995.258,75.511,63.662,417.551,834.972,270,0.385,3.874,4.470,5.915
19,11.5,11.490,710.225,1.232,7.811,996.452,74.977,65.800,439.532,830.433,260,0.360,4.081,4.498,6.073
20,12.0,11.970,749.816,1.228,8.246,994.828,75.214,65.190,324.457,862.948,183,0.336,4.819,4.524,6.610
21,12.5,12.491,786.585,1.235,7.714,997.927,74.307,44.966,653.200,885.588,151,0.310,3.659,4.550,5.839
22,13.0,12.967,811.253,1.238,7.297,998.902,74.297,33.108,697.764,900.704,89,0.286,3.509,4.568,5.760
23,13.5,13.488,802.748,1.246,5.941,1001.010,76.939,53.693,618.169,896.211,48,0.251,7.750,4.563,8.993
24,14.0,14.004,833.661,1.241,6.708,999.737,75.452,32.035,728.748,902.382,35,0.233,5.415,4.586,7.096
25,14.5,14.543,826.055,1.246,6.418,1002.077,76.457,50.831,638.376,901.721,25,0.206,10.166,4.581,11.151
26,15.0,14.949,836.097,1.247,6.195,1002.437,73.378,9.127,829.393,852.819,14,0.192,2.439,4.589,5.197
27,15.5,15.434,834.652,1.249,5.624,1002.295,75.862,6.090,826.464,841.619,11,0.175,1.836,4.589,4.942
28,16.0,16.106,837.403,1.246,6.694,1003.899,74.935,0.177,837.236,837.696,8,0.154,0.063,4.592,4.592
29,16.5,16.310,834.145,1.247,4.768,997.849,80.420,6.545,826.614,838.458,4,0.148,3.272,4.590,5.637
