,Bin,Vi,Pi,Cp,si,ui,uci
0,1,2.022,-0.233,-0.022,0.106,4.260,4.261
1,2,2.540,-0.097,-0.005,0.189,4.260,4.264
2,3,3.010,0.571,0.016,0.197,4.260,4.265
3,4,3.501,6.616,0.119,0.355,4.260,4.275
4,5,4.003,24.437,0.293,0.400,4.261,4.279
5,6,4.501,45.234,0.381,0.385,4.262,4.279
6,7,4.996,65.263,0.402,0.423,4.263,4.284
7,8,5.499,90.556,0.419,0.571,4.265,4.303
8,9,5.992,119.352,0.427,0.812,4.268,4.345
9,10,6.504,156.191,0.437,0.949,4.274,4.378
10,11,7.005,195.976,0.438,1.078,4.281,4.414
11,12,7.489,239.849,0.439,1.373,4.290,4.504
12,13,7.989,289.919,0.437,1.717,4.303,4.633
13,14,8.485,346.874,0.436,1.880,4.320,4.711
14,15,8.984,412.424,0.437,2.394,4.344,4.960
15,16,9.483,480.180,0.433,2.775,4.372,5.178
16,17,9.994,540.033,0.416,3.089,4.400,5.376
17,18,10.496,602.460,0.401,3.334,4.433,5.547
18,19,10.996,665.262,0.385,3.874,4.470,5.915
19,20,11.490,710.225,0.360,4.081,4.498,6.073
20,21,11.970,749.816,0.336,4.819,4.524,6.610
21,22,12.491,786.585,0.310,3.659,4.550,5.839
22,23,12.967,811.253,0.286,3.509,4.568,5.760
23,24,13.488,802.748,0.251,7.750,4.563,8.993
24,25,14.004,833.661,0.233,5.415,4.586,7.096
25,26,14.543,826.055,0.206,10.166,4.581,11.151
26,27,14.949,836.097,0.192,2.439,4.589,5.197
27,28,15.434,834.652,0.175,1.836,4.589,4.942
28,29,16.106,837.403,0.154,0.063,4.592,4.592
29,30,16.310,834.145,0.148,3.272,4.590,5.637
