,extrapolated_ws,extrapolated_power
0,2.000,-0.233
1,2.500,-0.097
2,3.000,0.571
3,3.500,6.616
4,4.000,24.437
5,4.500,45.234
6,5.000,65.263
7,5.500,90.556
8,6.000,119.352
9,6.500,156.191
10,7.000,195.976
11,7.500,239.849
12,8.000,289.919
13,8.500,346.874
14,9.000,412.424
15,9.500,480.180
16,10.000,540.033
17,10.500,602.460
18,11.000,665.262
19,11.500,710.225
20,12.000,749.816
21,12.500,786.585
22,13.000,811.253
23,13.500,802.748
24,14.000,833.661
25,14.500,826.055
26,15.000,836.097
27,15.500,834.652
28,16.000,837.403
29,16.500,834.145
30,17.000,834.145
31,17.500,834.145
32,18.000,834.145
33,18.500,834.145
34,19.000,834.145
35,19.500,834.145
36,20.000,834.145
37,20.500,834.145
38,21.000,834.145
39,21.500,834.145
40,22.000,834.145
41,22.500,834.145
42,23.000,834.145
43,23.500,834.145
44,24.000,834.145
45,24.500,834.145
46,25.000,834.145
