,binned_ws,mean_ws,mean_power,mean_rho,mean_Temp_C,mean_pressure,mean_rel_humidity,std_power,min_power,max_power,count,Cp,s_i,u_i,u_c
0,2.0,2.026,-0.803,1.196,15.254,993.429,65.885,0.057,-0.946,-0.730,196,-0.074,0.004,4.260,4.260
1,2.5,2.534,-0.924,1.227,11.752,1006.058,71.525,0.280,-1.816,0.938,457,-0.044,0.013,4.260,4.260
2,3.0,3.003,-0.607,1.233,10.535,1006.667,74.841,1.833,-2.037,15.954,688,-0.017,0.070,4.260,4.261
3,3.5,3.506,4.072,1.223,11.283,1001.045,73.742,7.891,-2.363,27.754,662,0.073,0.307,4.260,4.271
4,4.0,4.008,23.927,1.228,10.177,1001.603,75.764,12.501,-1.796,57.439,803,0.286,0.441,4.261,4.284
5,4.5,4.497,44.726,1.231,9.758,1002.489,76.965,11.309,10.944,95.579,891,0.378,0.379,4.262,4.278
6,5.0,5.000,66.673,1.226,10.132,999.967,78.252,12.871,25.725,127.541,833,0.410,0.446,4.263,4.286
7,5.5,5.490,92.295,1.218,10.959,996.652,76.570,15.097,39.848,154.185,698,0.429,0.571,4.265,4.303
8,6.0,6.002,123.801,1.227,9.987,999.955,75.984,21.938,66.128,224.850,695,0.440,0.832,4.269,4.349
9,6.5,6.512,159.858,1.225,10.353,999.348,74.932,24.752,79.197,255.792,714,0.445,0.926,4.274,4.373
10,7.0,7.011,199.865,1.230,9.483,1000.499,76.391,29.503,102.520,330.548,729,0.446,1.093,4.281,4.419
11,7.5,7.479,242.119,1.233,9.570,1003.121,76.679,34.597,136.293,343.225,717,0.445,1.292,4.290,4.481
12,8.0,7.999,298.937,1.235,9.128,1003.758,77.043,41.311,174.262,473.064,564,0.449,1.740,4.305,4.643
13,8.5,8.484,356.180,1.235,9.166,1003.775,76.205,41.976,220.265,567.902,509,0.448,1.861,4.323,4.706
14,9.0,8.984,422.245,1.235,8.775,1002.271,77.176,45.760,277.854,556.658,422,0.448,2.228,4.347,4.885
15,9.5,9.480,490.631,1.228,9.067,997.292,76.977,51.382,335.681,669.920,308,0.443,2.928,4.377,5.266
16,10.0,9.997,556.111,1.230,8.814,998.592,75.301,50.508,415.671,758.741,287,0.428,2.981,4.408,5.322
17,10.5,10.500,621.767,1.227,8.621,995.052,75.774,46.872,468.124,740.796,295,0.413,2.729,4.444,5.215
18,11.0,10.996,680.405,1.229,8.278,995.787,74.471,52.378,467.020,834.972,220,0.393,3.531,4.479,5.703
19,11.5,11.507,726.382,1.233,7.708,996.590,74.581,50.041,528.323,830.433,206,0.366,3.486,4.508,5.699
20,12.0,11.972,761.628,1.228,8.118,994.126,75.563,55.721,324.457,862.948,160,0.341,4.405,4.532,6.320
21,12.5,12.492,790.527,1.236,7.522,998.622,74.014,44.071,663.047,885.588,134,0.312,3.807,4.553,5.935
22,13.0,12.973,808.980,1.240,7.001,999.559,75.485,42.091,580.231,900.704,86,0.285,4.539,4.566,6.438
23,13.5,13.497,808.840,1.248,5.554,1001.459,78.961,49.096,618.169,896.211,45,0.253,7.319,4.567,8.627
24,14.0,14.004,831.221,1.242,6.476,999.662,76.771,31.421,728.748,902.382,38,0.233,5.097,4.584,6.855
25,14.5,14.543,826.055,1.246,6.418,1002.077,76.457,50.831,638.376,901.721,25,0.206,10.166,4.581,11.151
26,15.0,14.949,836.097,1.247,6.195,1002.437,73.378,9.127,829.393,852.819,14,0.192,2.439,4.589,5.197
27,15.5,15.434,834.652,1.249,5.624,1002.295,75.862,6.090,826.464,841.619,11,0.175,1.836,4.589,4.942
28,16.0,16.106,837.403,1.246,6.694,1003.899,74.935,0.177,837.236,837.696,8,0.154,0.063,4.592,4.592
29,16.5,16.310,834.145,1.247,4.768,997.849,80.420,6.545,826.614,838.458,4,0.148,3.272,4.590,5.637
