,Bin,Vi,Pi,Cp,si,ui,uci
0,1,2.026,-0.803,-0.074,0.004,4.260,4.260
1,2,2.534,-0.924,-0.044,0.013,4.260,4.260
2,3,3.003,-0.607,-0.017,0.070,4.260,4.261
3,4,3.506,4.072,0.073,0.307,4.260,4.271
4,5,4.008,23.927,0.286,0.441,4.261,4.284
5,6,4.497,44.726,0.378,0.379,4.262,4.278
6,7,5.000,66.673,0.410,0.446,4.263,4.286
7,8,5.490,92.295,0.429,0.571,4.265,4.303
8,9,6.002,123.801,0.440,0.832,4.269,4.349
9,10,6.512,159.858,0.445,0.926,4.274,4.373
10,11,7.011,199.865,0.446,1.093,4.281,4.419
11,12,7.479,242.119,0.445,1.292,4.290,4.481
12,13,7.999,298.937,0.449,1.740,4.305,4.643
13,14,8.484,356.180,0.448,1.861,4.323,4.706
14,15,8.984,422.245,0.448,2.228,4.347,4.885
15,16,9.480,490.631,0.443,2.928,4.377,5.266
16,17,9.997,556.111,0.428,2.981,4.408,5.322
17,18,10.500,621.767,0.413,2.729,4.444,5.215
18,19,10.996,680.405,0.393,3.531,4.479,5.703
19,20,11.507,726.382,0.366,3.486,4.508,5.699
20,21,11.972,761.628,0.341,4.405,4.532,6.320
21,22,12.492,790.527,0.312,3.807,4.553,5.935
22,23,12.973,808.980,0.285,4.539,4.566,6.438
23,24,13.497,808.840,0.253,7.319,4.567,8.627
24,25,14.004,831.221,0.233,5.097,4.584,6.855
25,26,14.543,826.055,0.206,10.166,4.581,11.151
26,27,14.949,836.097,0.192,2.439,4.589,5.197
27,28,15.434,834.652,0.175,1.836,4.589,4.942
28,29,16.106,837.403,0.154,0.063,4.592,4.592
29,30,16.310,834.145,0.148,3.272,4.590,5.637
