ws_bin_intervals,count,Wsp_44m_mean,Wdir_41m_mean,ROT_mean,yaw_mean,pa_mean,po_mean,wsn_mean,MyTB_mean_mean,MyTB_stdev_mean,MyTB_min_mean,MyTB_max_mean,MyTB_DEL3_mean,MyTB_DEL6_mean,MyTB_DEL9_mean,MyTB_DEL12_mean,MxTB_mean_mean,MxTB_stdev_mean,MxTB_min_mean,MxTB_max_mean,MxTB_DEL3_mean,MxTB_DEL6_mean,MxTB_DEL9_mean,MxTB_DEL12_mean,MzTT_mean_mean,MzTT_stdev_mean,MzTT_min_mean,MzTT_max_mean,MzTT_DEL3_mean,MzTT_DEL6_mean,MzTT_DEL9_mean,MzTT_DEL12_mean,Myaw_mean_mean,Myaw_stdev_mean,Myaw_min_mean,Myaw_max_mean,Myaw_DEL3_mean,Myaw_DEL6_mean,Myaw_DEL9_mean,Myaw_DEL12_mean,Mtilt_mean_mean,Mtilt_stdev_mean,Mtilt_min_mean,Mtilt_max_mean,Mtilt_DEL3_mean,Mtilt_DEL6_mean,Mtilt_DEL9_mean,Mtilt_DEL12_mean,MzR_mean_mean,MzR_stdev_mean,MzR_min_mean,MzR_max_mean,MzR_DEL3_mean,MzR_DEL6_mean,MzR_DEL9_mean,MzR_DEL12_mean,MyR_mean_mean,MyR_stdev_mean,MyR_min_mean,MyR_max_mean,MyR_DEL3_mean,MyR_DEL6_mean,MyR_DEL9_mean,MyR_DEL12_mean,MxR_mean_mean,MxR_stdev_mean,MxR_min_mean,MxR_max_mean,MxR_DEL3_mean,MxR_DEL6_mean,MxR_DEL9_mean,MxR_DEL12_mean,MyA1_mean_mean,MyA1_stdev_mean,MyA1_min_mean,MyA1_max_mean,MyA1_DEL3_mean,MyA1_DEL6_mean,MyA1_DEL9_mean,MyA1_DEL12_mean,MxA1_mean_mean,MxA1_stdev_mean,MxA1_min_mean,MxA1_max_mean,MxA1_DEL3_mean,MxA1_DEL6_mean,MxA1_DEL9_mean,MxA1_DEL12_mean
"[3.5, 4.5)",19,4.286,291.129,16.515,289.550,-0.494,37.171,4.273,-167.611,56.035,-413.259,-16.547,75.742,141.194,191.943,227.307,412.075,69.214,214.012,730.383,94.636,183.657,250.358,296.564,35.414,4.442,19.925,49.890,10.957,14.044,16.291,18.160,4.659,10.550,-35.768,41.500,25.841,34.479,41.068,46.349,-111.116,10.746,-142.621,-72.515,26.520,34.289,39.336,43.321,38.654,6.626,3.909,59.896,11.279,20.558,27.848,32.810,-7.327,79.058,-132.934,124.071,153.712,188.080,201.615,209.066,4.373,79.450,-123.731,134.391,153.636,187.986,201.512,208.958,32.034,101.145,-120.445,181.900,191.748,233.886,249.977,258.471,-47.396,16.140,-117.290,-7.344,22.117,39.105,53.269,63.182
"[4.5, 5.5)",32,5.076,284.860,18.085,257.486,-1.357,87.050,5.956,-342.831,144.556,-939.811,258.304,213.296,424.618,580.677,688.310,303.012,121.772,-234.374,819.703,185.123,369.943,507.336,602.296,20.861,8.925,-13.981,52.532,21.062,28.223,34.625,39.607,3.055,18.284,-62.574,77.785,43.477,59.545,73.202,83.715,-110.614,17.809,-173.889,-36.120,43.594,59.448,72.545,82.547,61.587,12.626,5.174,97.119,16.673,33.253,45.092,53.168,-8.114,78.838,-155.345,146.282,160.020,196.643,212.729,222.811,4.964,77.416,-149.643,161.812,159.177,196.494,213.858,225.262,20.437,102.574,-146.288,186.698,200.764,242.893,259.249,268.193,-100.996,32.910,-228.180,2.900,49.200,86.028,114.477,134.378
"[5.5, 6.5)",423,6.173,285.307,19.817,274.444,-1.586,141.893,6.407,-574.897,162.173,-1154.682,4.883,199.980,406.725,559.494,664.106,818.089,148.109,221.366,1356.957,200.094,397.752,546.540,649.147,24.188,9.787,-15.024,59.590,24.694,32.474,39.310,44.712,0.727,22.601,-82.323,88.575,54.128,73.098,89.217,101.801,-104.920,21.697,-179.961,-11.689,52.804,71.704,87.647,100.056,90.236,15.686,24.447,134.136,17.836,38.478,53.069,62.987,-8.790,76.734,-164.726,152.083,162.642,198.626,215.492,226.733,7.774,77.243,-151.479,173.396,163.784,200.274,217.717,229.503,14.936,102.192,-154.399,183.773,205.497,245.282,260.659,269.096,-158.020,39.192,-297.050,-41.280,53.935,93.737,125.540,147.937
"[6.5, 7.5)",1031,7.018,285.324,21.691,271.330,-1.654,211.148,7.092,-744.361,210.284,-1412.165,-74.313,232.104,471.915,647.566,767.847,1026.137,198.806,345.317,1663.883,233.198,464.707,637.394,756.007,22.318,12.350,-26.726,67.757,30.717,40.316,49.245,56.299,1.247,28.562,-104.105,110.877,66.526,90.105,111.157,127.493,-102.988,27.512,-200.342,13.410,66.532,90.067,110.787,126.917,115.537,20.414,52.558,176.494,19.798,43.188,59.678,70.921,-9.710,77.312,-183.392,167.483,171.962,209.459,228.611,242.213,10.224,78.001,-165.477,194.354,174.076,212.230,232.085,246.338,4.562,102.783,-176.397,180.302,214.241,252.369,267.383,275.951,-213.745,49.080,-371.192,-69.781,67.196,112.376,149.056,175.060
"[7.5, 8.5)",1123,7.997,285.341,23.610,272.153,-1.798,312.266,7.945,-978.180,253.078,-1698.542,-227.924,266.707,526.122,716.310,847.002,1310.220,251.727,524.442,2037.427,273.911,535.706,732.502,868.048,17.597,15.046,-41.427,72.946,36.990,48.410,59.379,68.023,1.481,34.244,-128.476,132.051,78.801,107.532,133.750,153.939,-102.888,33.019,-220.362,35.776,80.005,107.698,132.698,152.113,149.711,26.940,80.208,230.495,23.829,52.306,72.260,85.878,-10.980,78.820,-202.108,182.941,182.644,221.953,243.596,259.677,12.735,80.142,-182.212,215.861,186.885,227.366,250.049,266.990,-8.403,103.543,-205.178,179.018,226.052,263.370,278.719,288.078,-282.611,56.948,-448.568,-109.961,80.111,128.208,168.110,196.844
"[8.5, 9.5)",935,8.984,284.478,25.142,274.027,-1.837,433.550,8.884,-1365.209,261.995,-2088.047,-469.739,1376.610,1654.725,1861.106,2003.433,1595.516,263.848,734.633,2322.754,1380.441,1642.200,1843.980,1984.111,12.795,17.301,-54.892,77.984,1111.901,1125.110,1138.092,1148.275,0.311,39.137,-150.229,148.015,1432.055,1464.430,1494.658,1517.913,-102.477,37.837,-237.381,58.006,1434.299,1465.886,1494.894,1517.360,191.856,35.582,106.495,291.728,1183.910,1219.438,1244.012,1260.717,-12.184,80.324,-219.950,199.162,1347.503,1388.945,1413.395,1432.167,14.406,82.350,-196.937,236.523,1267.604,1310.547,1336.120,1355.779,-24.925,104.180,-232.798,176.514,1308.062,1345.518,1361.614,1371.934,-349.091,56.408,-508.608,-152.811,1160.213,1207.940,1247.987,1277.378
"[9.5, 10.5)",675,9.966,280.790,25.866,275.722,-1.412,568.547,9.784,-1817.282,240.376,-2577.967,-719.467,385.031,698.625,927.733,1085.999,1846.980,241.812,910.034,2568.384,359.454,617.228,818.958,961.421,9.457,19.381,-66.777,83.489,47.343,62.472,77.399,89.007,-3.059,45.062,-179.119,168.164,104.261,142.451,178.053,205.178,-99.275,43.914,-257.560,93.461,107.216,145.304,180.641,207.768,239.680,43.379,132.266,348.217,35.002,76.685,105.200,124.514,-13.111,81.323,-240.326,214.902,201.569,246.789,275.114,297.233,14.683,83.580,-211.341,252.850,206.099,252.107,280.698,303.011,-38.051,104.541,-253.601,176.020,248.616,287.134,304.311,315.697,-396.459,49.544,-553.985,-189.075,101.179,148.111,186.849,215.702
"[10.5, 11.5)",523,10.977,276.640,26.032,271.463,-0.375,687.615,10.608,-2053.367,265.955,-2961.560,-673.720,543.094,915.486,1176.650,1359.152,1824.462,239.911,796.203,2622.432,460.217,730.590,933.223,1078.883,1.507,21.920,-85.330,85.602,53.674,71.149,88.210,101.387,-7.301,51.648,-209.203,189.646,119.464,163.963,205.055,236.118,-93.746,50.859,-274.793,135.501,123.269,168.900,211.132,243.096,286.361,44.458,162.994,372.438,37.478,77.124,104.234,122.500,-13.411,82.165,-258.596,229.853,207.858,257.763,290.040,315.278,14.457,84.879,-230.383,272.566,213.492,264.681,297.659,323.540,-42.112,105.542,-269.773,184.855,255.376,296.557,315.701,328.797,-414.397,51.762,-592.476,-165.565,121.097,177.022,221.574,254.609
"[11.5, 12.5)",348,11.962,276.871,26.100,273.880,1.354,774.242,11.461,-2014.831,317.560,-3036.721,-662.205,640.282,997.604,1247.796,1426.681,1938.520,255.087,850.874,2792.162,539.118,811.177,1012.027,1158.983,0.906,23.207,-92.788,91.198,58.153,76.908,95.233,109.381,-7.894,55.784,-228.488,206.570,129.149,178.139,223.237,257.256,-89.213,55.420,-285.846,163.518,133.327,184.016,230.614,265.816,318.913,33.952,198.480,378.406,35.164,66.943,90.017,105.649,-13.206,82.656,-272.813,247.093,214.253,267.226,302.980,331.266,15.140,85.112,-239.605,286.570,218.910,272.528,308.279,336.480,-41.617,106.029,-280.131,193.046,259.029,300.532,320.793,335.304,-410.169,61.472,-612.198,-127.912,137.587,202.686,253.161,290.281
"[12.5, 13.5)",253,12.979,276.254,26.168,275.565,3.598,824.503,12.215,-1879.740,363.138,-3052.733,-597.834,677.012,1037.100,1292.766,1476.673,1950.670,278.765,905.005,2902.859,577.616,851.598,1052.804,1200.718,0.486,25.146,-100.838,99.213,63.321,84.070,103.872,119.061,-7.687,61.421,-245.380,229.831,141.998,196.228,245.212,281.988,-80.350,61.505,-295.943,199.121,147.086,203.376,254.664,293.250,336.115,20.351,239.341,382.599,31.863,53.841,71.574,83.945,-12.090,82.437,-286.072,260.942,217.681,274.828,314.449,345.678,16.887,84.065,-250.381,296.318,220.306,277.231,316.057,346.605,-27.818,106.775,-279.131,207.919,257.947,300.695,322.305,338.307,-382.741,75.062,-622.175,-61.861,156.207,232.883,291.724,334.850
