ws_bin_intervals,count,Wsp_44m_mean,Wdir_41m_mean,ROT_mean,yaw_mean,pa_mean,po_mean,wsn_mean,MyTB_mean_mean,MyTB_stdev_mean,MyTB_min_mean,MyTB_max_mean,MyTB_DEL3_mean,MyTB_DEL6_mean,MyTB_DEL9_mean,MyTB_DEL12_mean,MxTB_mean_mean,MxTB_stdev_mean,MxTB_min_mean,MxTB_max_mean,MxTB_DEL3_mean,MxTB_DEL6_mean,MxTB_DEL9_mean,MxTB_DEL12_mean,MzTT_mean_mean,MzTT_stdev_mean,MzTT_min_mean,MzTT_max_mean,MzTT_DEL3_mean,MzTT_DEL6_mean,MzTT_DEL9_mean,MzTT_DEL12_mean,Myaw_mean_mean,Myaw_stdev_mean,Myaw_min_mean,Myaw_max_mean,Myaw_DEL3_mean,Myaw_DEL6_mean,Myaw_DEL9_mean,Myaw_DEL12_mean,Mtilt_mean_mean,Mtilt_stdev_mean,Mtilt_min_mean,Mtilt_max_mean,Mtilt_DEL3_mean,Mtilt_DEL6_mean,Mtilt_DEL9_mean,Mtilt_DEL12_mean,MzR_mean_mean,MzR_stdev_mean,MzR_min_mean,MzR_max_mean,MzR_DEL3_mean,MzR_DEL6_mean,MzR_DEL9_mean,MzR_DEL12_mean,MyR_mean_mean,MyR_stdev_mean,MyR_min_mean,MyR_max_mean,MyR_DEL3_mean,MyR_DEL6_mean,MyR_DEL9_mean,MyR_DEL12_mean,MxR_mean_mean,MxR_stdev_mean,MxR_min_mean,MxR_max_mean,MxR_DEL3_mean,MxR_DEL6_mean,MxR_DEL9_mean,MxR_DEL12_mean,MyA1_mean_mean,MyA1_stdev_mean,MyA1_min_mean,MyA1_max_mean,MyA1_DEL3_mean,MyA1_DEL6_mean,MyA1_DEL9_mean,MyA1_DEL12_mean,MxA1_mean_mean,MxA1_stdev_mean,MxA1_min_mean,MxA1_max_mean,MxA1_DEL3_mean,MxA1_DEL6_mean,MxA1_DEL9_mean,MxA1_DEL12_mean,ws_bin_center
"[3.5, 4.5)",60,3.997,290.900,16.363,289.104,-0.160,27.950,3.832,-111.825,50.765,-335.050,17.655,70.413,124.593,169.815,201.726,325.185,71.265,149.369,618.731,87.474,165.532,226.337,268.710,28.730,4.736,12.479,44.037,11.101,14.341,16.840,18.919,4.947,10.462,-33.462,40.198,25.806,33.983,39.980,44.781,-113.235,10.783,-145.869,-74.914,26.117,33.824,39.081,43.346,33.044,6.092,5.253,53.680,10.331,17.663,23.734,28.007,-7.129,79.985,-133.813,126.520,153.414,189.004,203.080,210.842,4.346,80.322,-125.889,136.194,153.551,189.189,203.308,211.114,38.338,101.122,-114.380,187.023,189.212,232.215,248.689,257.389,-29.872,15.589,-95.311,9.497,22.147,37.428,50.640,60.065,4.0
"[4.5, 5.5)",32,5.053,287.013,17.862,255.567,-1.140,79.992,5.442,-343.711,145.734,-939.718,270.344,220.529,431.727,588.109,696.220,271.916,119.285,-265.283,776.874,184.501,365.599,500.456,594.249,17.439,8.929,-16.871,49.244,21.444,28.449,34.709,39.603,2.941,18.837,-63.860,77.748,44.819,60.684,74.345,84.920,-109.369,18.422,-174.492,-33.759,44.622,60.551,73.885,84.127,61.222,12.639,4.709,96.746,16.826,33.345,45.171,53.249,-7.986,78.310,-156.267,147.151,159.505,196.422,212.884,223.315,4.823,76.958,-150.908,162.714,158.721,196.249,213.893,225.571,19.468,102.624,-147.855,186.198,200.917,243.170,259.587,268.572,-98.934,32.961,-225.132,7.178,50.201,86.645,114.960,134.909,5.0
"[5.5, 6.5)",417,6.172,285.368,19.829,274.171,-1.571,141.920,6.389,-574.933,162.114,-1152.532,4.865,199.846,406.090,558.546,662.959,814.900,147.390,221.756,1351.451,199.293,395.710,543.662,645.722,23.903,9.803,-15.362,59.268,24.743,32.520,39.348,44.745,0.704,22.632,-82.150,88.658,54.207,73.149,89.230,101.790,-104.795,21.727,-179.955,-11.468,52.858,71.771,87.731,100.157,90.172,15.667,24.378,134.048,17.844,38.489,53.078,62.994,-8.788,76.667,-164.773,152.069,162.590,198.542,215.406,226.653,7.778,77.174,-151.486,173.406,163.746,200.214,217.664,229.461,14.718,102.199,-154.631,183.539,205.593,245.352,260.719,269.151,-158.073,39.144,-297.104,-41.334,54.032,93.783,125.570,147.961,6.0
"[6.5, 7.5)",1028,7.018,285.319,21.690,271.285,-1.652,211.103,7.090,-744.291,210.521,-1412.997,-73.256,232.340,472.505,648.420,768.884,1025.820,198.923,344.369,1664.106,233.337,465.055,637.912,756.643,22.287,12.357,-26.782,67.750,30.733,40.339,49.273,56.330,1.242,28.578,-104.164,110.935,66.552,90.149,111.214,127.559,-102.979,27.528,-200.388,13.506,66.572,90.125,110.863,127.005,115.538,20.431,52.524,176.570,19.811,43.223,59.729,70.983,-9.707,77.311,-183.436,167.528,171.986,209.484,228.642,242.250,10.230,78.000,-165.510,194.404,174.103,212.260,232.122,246.382,4.509,102.784,-176.492,180.270,214.267,252.390,267.403,275.972,-213.818,49.120,-371.402,-69.753,67.240,112.454,149.166,175.193,7.0
"[7.5, 8.5)",1103,7.993,285.216,23.579,272.452,-1.793,311.211,7.926,-982.452,254.687,-1706.734,-228.953,267.405,528.377,719.652,851.056,1317.018,252.345,530.742,2045.401,273.900,536.101,733.185,868.924,17.528,15.042,-41.532,72.851,36.947,48.381,59.364,68.015,1.438,34.277,-128.695,132.227,78.847,107.652,133.933,154.161,-102.908,33.057,-220.544,36.083,80.043,107.803,132.885,152.359,149.592,27.056,79.851,230.698,23.897,52.491,72.524,86.196,-10.970,78.856,-202.336,183.160,182.761,222.126,243.812,259.930,12.683,80.217,-182.443,215.901,187.020,227.536,250.236,267.192,-8.321,103.534,-205.113,178.984,225.937,263.232,278.569,287.921,-281.906,57.134,-448.391,-109.222,80.034,128.279,168.311,197.125,8.0
"[8.5, 9.5)",797,8.978,283.408,25.029,271.690,-1.811,432.259,8.814,-1375.311,280.313,-2144.848,-441.474,1574.698,1869.930,2087.752,2237.665,1525.019,272.818,660.880,2277.477,1572.582,1838.347,2043.478,2186.059,10.698,17.894,-59.544,78.009,1298.341,1312.072,1325.610,1336.197,-0.309,40.284,-155.684,152.615,1725.761,1759.572,1791.134,1815.302,-101.952,38.845,-241.209,63.468,1728.021,1760.786,1790.995,1814.311,191.909,37.411,103.724,296.744,1398.374,1435.472,1461.075,1478.475,-12.201,80.514,-224.035,202.674,1562.323,1604.572,1629.824,1649.303,14.107,82.537,-201.631,240.525,1454.534,1498.412,1524.909,1545.375,-25.465,104.418,-235.985,177.454,1494.206,1531.762,1548.048,1558.594,-346.799,59.311,-513.803,-145.055,1348.780,1398.245,1439.735,1470.183,9.0
"[9.5, 10.5)",375,9.884,281.402,25.672,274.247,-1.479,546.262,9.511,-1734.436,267.425,-2524.854,-661.132,386.503,699.986,929.769,1088.658,1764.144,269.958,812.064,2526.389,365.066,634.387,844.758,992.912,9.244,19.745,-68.161,84.338,48.102,63.399,78.580,90.396,-2.823,45.040,-178.800,169.333,103.809,142.295,178.083,205.339,-101.042,43.797,-259.714,91.273,106.844,145.230,180.759,207.942,232.931,46.196,122.484,347.433,36.141,79.644,109.409,129.575,-13.158,82.226,-243.292,217.261,204.443,249.870,278.445,300.837,14.261,84.608,-216.244,255.365,209.585,256.269,285.370,308.041,-37.060,104.837,-254.849,177.129,249.183,287.508,304.744,316.268,-387.888,54.879,-553.232,-175.404,103.378,152.199,192.900,223.122,10.0
"[10.5, 11.5)",96,10.906,279.234,25.658,258.534,-0.674,623.874,9.940,-1817.495,319.090,-2846.676,-453.822,534.143,923.935,1206.886,1404.987,1251.326,295.680,132.537,2156.123,471.683,783.042,1018.003,1185.473,1.236,23.531,-90.098,91.555,58.014,75.802,93.677,107.683,-4.691,50.803,-202.508,189.201,117.520,161.061,201.351,231.893,-96.124,49.681,-275.910,125.797,121.178,165.968,207.108,238.138,274.929,52.713,137.731,373.695,39.349,84.448,115.692,136.814,-13.754,82.761,-255.571,233.143,209.752,259.049,291.062,316.224,13.437,88.901,-247.964,290.305,225.871,281.015,317.077,345.439,-38.506,107.043,-275.564,191.718,258.524,300.861,321.040,335.083,-392.937,62.155,-596.864,-133.924,130.809,190.360,238.958,275.247,11.0
"[11.5, 12.5)",16,11.861,283.292,25.424,237.438,-0.075,617.538,10.078,-1926.573,415.762,-3125.610,-554.797,616.016,1016.837,1307.695,1513.991,239.950,325.337,-921.240,1292.118,520.357,850.447,1102.703,1285.169,-14.815,28.662,-121.911,88.733,69.412,88.909,108.775,124.676,-3.426,57.294,-225.057,226.174,129.922,180.567,227.754,263.491,-89.549,55.715,-298.235,159.500,135.750,187.706,235.790,271.971,304.440,49.730,155.245,381.710,39.472,80.987,110.559,130.701,-13.797,83.546,-275.047,276.076,215.216,271.440,310.701,342.524,12.487,97.651,-289.326,325.415,251.969,316.796,359.253,392.329,-38.215,107.090,-293.308,201.719,258.449,305.299,329.264,346.559,-371.141,75.355,-618.628,-84.684,159.769,225.982,279.039,319.147,12.0
"[12.5, 13.5)",1,12.640,280.630,25.990,262.290,1.760,745.330,11.600,-2372.500,418.355,-3840.170,-825.151,771.330,1274.160,1605.120,1834.070,1415.660,289.375,406.012,2335.630,578.149,815.894,995.668,1132.460,-30.983,27.346,-136.915,64.051,62.047,83.292,103.540,119.066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.732,88.133,-302.522,286.522,225.858,284.191,324.985,360.013,-54.470,105.748,-295.037,191.842,255.027,299.825,321.753,337.269,-389.359,74.027,-621.438,-45.738,154.115,242.220,307.617,352.684,13.0
