,binned_ws,mean_ws,mean_power,mean_rho,std_power,count,Cp,s_i,u_i,u_c
0,2.0,2.015,-0.150,1.228,5.445,1200,-0.574,0.157,0.061,0.168
1,2.5,2.512,4.501,1.234,17.782,1653,8.855,0.437,0.117,0.453
2,3.0,3.002,3.717,1.235,16.062,1785,4.276,0.380,0.117,0.398
3,3.5,3.503,8.851,1.233,20.601,1904,6.422,0.472,0.206,0.515
4,4.0,4.009,24.830,1.237,29.077,2210,11.987,0.619,0.511,0.802
5,4.5,4.497,44.299,1.238,34.329,2366,15.134,0.706,0.896,1.141
6,5.0,4.995,62.275,1.235,31.092,2184,15.564,0.665,1.254,1.420
7,5.5,5.496,83.729,1.230,37.061,1827,15.764,0.867,1.683,1.893
8,6.0,5.994,110.379,1.231,52.204,1763,16.017,1.243,2.215,2.540
9,6.5,6.502,140.273,1.229,64.938,1548,15.971,1.651,2.812,3.261
10,7.0,7.002,174.469,1.232,79.793,1563,15.857,2.018,3.496,4.037
11,7.5,7.490,216.699,1.234,92.012,1404,16.075,2.456,4.340,4.986
12,8.0,7.992,260.189,1.234,105.798,1238,15.885,3.007,5.209,6.015
13,8.5,8.485,302.377,1.233,130.015,1066,15.436,3.982,6.053,7.245
14,9.0,8.989,347.894,1.234,156.944,860,14.932,5.352,6.963,8.782
15,9.5,9.490,418.548,1.229,169.317,629,15.321,6.751,8.376,10.758
16,10.0,9.998,448.384,1.231,205.276,581,14.012,8.516,8.973,12.371
17,10.5,10.494,517.068,1.231,209.783,538,13.976,9.044,10.346,13.742
18,11.0,10.998,533.993,1.232,257.498,398,12.530,12.907,10.685,16.756
19,11.5,11.495,572.636,1.236,274.824,364,11.736,14.405,11.458,18.406
20,12.0,11.978,577.965,1.234,309.152,263,10.483,19.063,11.565,22.297
21,12.5,12.494,571.324,1.237,346.852,219,9.111,23.438,11.433,26.078
22,13.0,12.976,481.604,1.238,390.767,158,6.850,31.088,9.640,32.548
23,13.5,13.501,373.941,1.240,398.408,100,4.714,39.841,7.490,40.539
24,14.0,13.989,288.563,1.237,388.148,99,3.276,39.010,5.786,39.437
25,14.5,14.505,248.817,1.235,377.137,76,2.539,43.261,4.995,43.548
26,15.0,14.999,174.126,1.242,338.198,50,1.598,47.828,3.511,47.957
27,15.5,15.470,155.429,1.243,322.640,44,1.298,48.640,3.143,48.741
28,16.0,16.008,195.148,1.247,343.189,29,1.467,63.729,3.932,63.850
29,16.5,16.491,131.386,1.250,312.650,20,0.902,69.911,2.674,69.962
30,17.0,16.968,55.727,1.248,168.406,18,0.351,39.694,1.225,39.712
31,17.5,17.443,-0.399,1.251,0.076,11,-0.002,0.023,0.523,0.524
32,18.0,17.935,13.559,1.246,31.139,5,0.073,13.926,0.603,13.939
33,18.5,18.589,150.553,1.251,301.794,4,0.721,150.897,3.062,150.928
34,19.0,19.105,-0.339,1.251,0.000,1,-0.001,0.000,0.573,0.573
35,19.5,19.292,-0.411,1.245,0.078,2,-0.002,0.055,0.579,0.581
