,rname,Wsp_44m,Wdir_41m,ROT,yaw,pa,po,wsn,MyTB_mean,MyTB_stdev,MyTB_min,MyTB_max,MyTB_DEL3,MyTB_DEL6,MyTB_DEL9,MyTB_DEL12,MxTB_mean,MxTB_stdev,MxTB_min,MxTB_max,MxTB_DEL3,MxTB_DEL6,MxTB_DEL9,MxTB_DEL12,MzTT_mean,MzTT_stdev,MzTT_min,MzTT_max,MzTT_DEL3,MzTT_DEL6,MzTT_DEL9,MzTT_DEL12,Myaw_mean,Myaw_stdev,Myaw_min,Myaw_max,Myaw_DEL3,Myaw_DEL6,Myaw_DEL9,Myaw_DEL12,Mtilt_mean,Mtilt_stdev,Mtilt_min,Mtilt_max,Mtilt_DEL3,Mtilt_DEL6,Mtilt_DEL9,Mtilt_DEL12,MzR_mean,MzR_stdev,MzR_min,MzR_max,MzR_DEL3,MzR_DEL6,MzR_DEL9,MzR_DEL12,MyR_mean,MyR_stdev,MyR_min,MyR_max,MyR_DEL3,MyR_DEL6,MyR_DEL9,MyR_DEL12,MxR_mean,MxR_stdev,MxR_min,MxR_max,MxR_DEL3,MxR_DEL6,MxR_DEL9,MxR_DEL12,MyA1_mean,MyA1_stdev,MyA1_min,MyA1_max,MyA1_DEL3,MyA1_DEL6,MyA1_DEL9,MyA1_DEL12,MxA1_mean,MxA1_stdev,MxA1_min,MxA1_max,MxA1_DEL3,MxA1_DEL6,MxA1_DEL9,MxA1_DEL12,datetime,ws_bin
0,201701012040,6.360,282.660,20.550,278.610,-1.770,175.500,6.810,-887.597,209.663,-1863.160,1003.830,437.215,1033.880,1415.370,1667.680,1002.850,194.115,-666.370,1705.530,373.775,863.087,1183.930,1394.940,36.164,12.132,-23.622,82.260,31.413,42.730,54.500,63.395,7.555,27.533,-81.469,138.497,60.293,85.999,110.244,128.605,-103.574,25.936,-178.265,9.215,60.799,82.281,100.275,113.920,102.539,15.905,7.341,159.369,23.302,53.122,74.096,88.038,-8.731,76.975,-172.021,159.529,185.069,214.514,229.170,239.613,7.147,78.092,-157.117,178.850,187.430,216.902,231.289,241.248,-39.571,101.281,-205.148,156.745,228.309,258.103,269.619,276.271,-211.509,47.383,-360.007,37.029,74.659,142.752,195.733,231.585,2017-01-01 20:40:00,"[6, 7)"
1,201701012050,6.680,283.250,20.300,278.610,-1.790,169.600,6.710,-855.687,137.832,-1319.040,-260.773,202.947,390.427,525.541,618.521,971.757,125.203,400.440,1435.890,204.619,370.709,502.280,595.623,39.001,9.779,-6.659,69.982,26.949,34.533,41.895,47.666,2.541,23.058,-75.274,95.821,52.986,72.463,89.550,102.461,-110.060,20.437,-176.338,0.586,48.361,66.490,84.675,99.678,101.145,13.739,25.671,145.883,19.594,41.836,58.013,69.100,-8.659,79.848,-163.407,144.953,187.251,215.327,227.984,236.187,6.526,80.737,-142.508,170.836,187.275,214.963,227.255,235.170,-38.741,101.547,-203.742,129.764,226.248,255.791,266.767,272.674,-205.411,32.055,-331.265,-118.046,53.184,86.382,111.966,129.650,2017-01-01 20:50:00,"[6, 7)"
2,201701012100,6.240,278.100,18.600,278.610,-1.670,133.070,6.110,-690.603,131.014,-1119.250,-336.481,194.674,331.847,425.306,487.238,811.888,116.841,454.926,1157.980,186.617,296.516,376.404,431.343,40.931,8.357,5.814,78.417,25.128,32.319,39.060,44.326,-1.883,18.957,-72.096,75.421,49.617,66.871,81.003,91.759,-107.600,19.512,-190.580,-41.247,43.823,61.220,76.545,88.189,88.918,13.381,19.791,133.020,19.196,39.910,54.942,65.260,-8.357,77.829,-176.369,164.032,177.715,209.338,225.452,237.439,3.962,78.428,-143.540,187.346,176.668,207.221,222.133,232.848,-32.624,102.112,-195.114,129.919,221.820,254.406,266.548,273.040,-165.332,30.636,-274.459,-79.214,49.571,80.428,103.191,118.637,2017-01-01 21:00:00,"[6, 7)"
3,201701012120,6.070,280.700,18.880,278.610,-1.730,133.550,6.220,-708.469,159.140,-1217.870,-311.616,192.998,345.871,458.883,535.563,826.988,141.757,473.604,1288.320,196.026,325.840,423.440,489.523,39.018,8.599,5.307,68.425,25.229,31.053,36.000,39.830,3.320,20.107,-63.511,78.196,49.756,64.684,75.950,84.731,-107.889,19.972,-178.869,-24.964,48.687,64.762,78.442,89.473,88.053,11.330,13.924,121.459,19.292,38.782,52.729,62.290,-8.177,78.104,-168.252,156.349,179.956,210.006,223.838,233.125,4.299,78.956,-150.861,173.408,180.694,210.870,224.803,234.133,-32.855,101.500,-202.756,127.753,222.788,254.997,267.087,273.637,-169.816,38.803,-303.106,-82.394,49.318,84.213,112.190,130.894,2017-01-01 21:20:00,"[6, 7)"
4,201701012130,5.900,283.280,19.250,278.610,-1.740,121.600,6.410,-684.019,118.931,-1114.030,-296.170,189.429,328.307,425.928,491.633,797.103,101.218,384.754,1199.570,187.478,320.057,417.542,483.667,40.351,9.193,-9.228,75.433,25.519,34.075,42.865,49.803,2.182,21.151,-78.265,112.809,50.404,71.890,92.267,108.328,-111.420,20.909,-178.009,-10.867,48.042,66.363,83.644,97.512,81.421,16.828,8.326,131.951,22.256,45.283,61.163,71.970,-7.970,80.715,-174.577,151.601,185.385,215.868,230.039,239.658,5.239,81.536,-146.337,170.074,184.448,214.335,228.054,237.298,-30.343,101.697,-193.180,132.031,223.182,254.587,266.315,272.631,-167.399,30.228,-295.519,-84.060,50.882,84.600,110.266,127.860,2017-01-01 21:30:00,"[5, 6)"
5,201701012150,5.470,283.520,17.680,278.510,-1.590,89.900,5.740,-531.043,103.941,-908.424,283.448,188.424,414.019,578.905,688.689,648.959,93.117,-81.269,959.957,182.805,373.364,517.573,612.582,39.685,6.732,7.955,65.206,20.052,25.538,30.542,34.546,3.988,15.104,-49.683,74.002,39.832,53.566,65.208,74.396,-109.031,15.838,-163.436,-39.125,37.418,52.014,65.398,75.536,68.408,12.550,-21.626,98.582,20.210,43.313,59.773,70.683,-7.775,78.046,-146.538,150.473,173.124,202.580,215.132,222.895,2.804,78.758,-145.977,145.631,173.244,202.632,215.060,222.680,-24.339,101.324,-184.736,150.425,216.352,250.240,262.918,269.711,-130.260,25.050,-231.914,-15.703,42.458,77.964,105.613,124.805,2017-01-01 21:50:00,"[5, 6)"
6,201701020050,5.940,287.260,18.750,290.190,-1.760,144.470,6.180,-539.877,85.209,-791.498,-253.002,149.274,221.775,283.054,326.442,1030.730,134.632,655.947,1432.890,177.063,289.904,383.888,451.192,45.745,7.749,17.210,77.159,22.902,28.445,33.641,37.720,4.322,18.712,-66.513,72.735,47.294,62.517,75.339,85.227,-99.389,17.037,-157.339,-27.735,40.081,53.245,64.951,74.665,95.961,12.242,50.107,127.801,13.879,27.209,37.528,44.680,-9.686,71.738,-163.669,139.932,163.967,191.479,204.616,214.039,3.820,72.629,-146.298,147.361,164.197,191.394,204.097,212.961,-35.448,101.143,-200.579,125.747,221.034,253.255,265.282,271.727,-178.179,28.577,-280.998,-94.778,45.978,70.186,91.560,107.628,2017-01-02 00:50:00,"[5, 6)"
7,201701020120,6.360,285.190,19.160,292.660,-1.790,146.850,6.330,-516.379,92.479,-875.375,-279.089,144.797,233.271,305.818,356.785,1081.610,130.906,759.760,1622.560,207.099,330.026,429.042,501.709,46.451,7.801,18.208,75.121,23.022,27.797,31.953,35.278,2.858,19.156,-70.387,74.713,48.324,63.210,75.711,85.623,-105.896,18.284,-172.815,-37.950,46.355,62.372,75.163,84.704,95.535,13.079,15.353,127.150,18.150,38.711,53.805,64.163,-9.700,76.356,-154.458,143.036,176.609,204.770,217.443,225.750,4.502,77.218,-148.141,163.414,177.119,205.344,218.106,226.592,-35.578,101.364,-194.894,126.786,222.679,254.137,265.837,272.089,-185.863,30.037,-303.306,-91.986,48.044,78.979,104.932,123.202,2017-01-02 01:20:00,"[6, 7)"
8,201701020130,6.280,297.260,18.850,297.580,-1.790,148.880,6.260,-412.116,76.299,-682.138,-123.802,135.452,215.542,280.798,327.071,1131.840,146.048,643.461,1569.310,194.960,344.904,458.911,538.760,43.704,8.028,18.611,69.916,22.733,27.063,30.796,33.691,3.942,20.128,-70.873,65.327,48.233,61.619,72.890,82.002,-109.174,17.518,-177.172,-42.275,43.463,58.651,71.210,80.822,97.537,12.654,39.259,134.164,16.733,34.730,46.943,55.187,-10.035,78.668,-168.774,138.225,179.711,208.853,221.875,230.350,3.659,79.645,-141.987,170.209,180.020,208.778,221.492,229.781,-36.301,101.109,-199.517,123.475,220.915,252.773,264.601,270.896,-183.819,28.602,-290.123,-98.325,44.194,70.188,93.335,110.401,2017-01-02 01:30:00,"[6, 7)"
18,201701021230,9.450,304.100,24.730,314.730,-1.880,434.410,8.410,-103.547,98.072,-521.426,239.663,285.469,362.712,425.087,474.511,2607.580,395.359,1480.470,3479.950,393.403,724.680,967.899,1146.560,60.547,17.574,-23.622,118.756,46.853,60.078,74.974,86.635,-6.263,47.073,-160.975,220.931,100.874,146.593,191.025,223.830,-98.929,42.280,-251.905,61.231,96.515,128.984,159.800,183.644,190.671,35.842,80.879,279.401,34.426,69.614,95.320,113.636,-12.906,81.334,-233.872,209.552,217.893,256.625,281.645,301.049,12.441,82.561,-207.263,245.760,220.587,258.785,283.231,302.385,-73.549,104.534,-274.565,128.963,262.159,288.937,300.461,308.054,-377.017,61.296,-555.185,-203.150,104.538,145.332,180.600,207.742,2017-01-02 12:30:00,"[9, 10)"
19,201701021240,9.110,299.310,24.580,311.510,-1.810,407.620,8.460,-235.662,167.578,-997.313,126.925,259.784,430.196,573.715,671.267,2477.270,374.567,464.729,3906.030,582.033,1259.690,1711.310,2012.640,57.579,15.639,7.631,120.469,44.265,53.672,63.186,70.687,3.352,40.895,-164.941,127.808,93.220,125.099,153.485,175.341,-101.985,39.343,-235.162,41.162,96.065,126.049,153.244,173.880,181.432,34.559,45.660,303.457,38.182,87.530,123.043,147.394,-12.428,80.546,-246.006,207.366,215.247,251.218,275.302,296.007,12.493,82.160,-220.859,211.902,218.684,254.712,277.460,295.477,-69.842,103.020,-278.292,149.796,257.159,284.242,296.444,305.095,-363.455,58.561,-527.138,-111.769,101.837,163.418,212.060,246.187,2017-01-02 12:40:00,"[9, 10)"
20,201701021300,8.110,310.340,23.120,310.270,-1.780,280.540,7.610,-216.477,123.717,-601.528,166.110,213.302,291.799,373.021,440.198,1988.100,331.529,1035.390,2979.460,371.686,705.516,947.310,1119.550,60.685,13.194,14.472,109.463,39.820,47.575,54.791,60.558,-4.686,33.707,-128.684,105.799,83.094,107.757,127.327,142.330,-113.604,38.472,-244.940,24.183,87.513,115.672,140.971,160.340,137.213,25.060,77.646,214.542,27.243,51.849,68.116,79.549,-10.832,86.820,-215.418,221.131,222.654,259.215,280.577,296.887,10.499,87.745,-188.380,238.344,224.178,260.669,282.079,298.654,-52.982,103.345,-241.379,124.009,244.452,271.279,281.831,288.096,-293.604,53.362,-460.413,-136.325,85.554,126.895,162.845,189.456,2017-01-02 13:00:00,"[8, 9)"
21,201701021310,8.970,307.620,23.860,314.010,-1.840,399.140,7.990,-141.315,109.059,-578.722,152.408,307.971,394.659,454.382,496.464,2468.000,409.814,1442.490,3578.290,351.837,730.382,1021.550,1222.290,61.229,14.431,8.281,120.483,41.143,51.239,61.216,69.045,-6.704,37.135,-160.668,123.157,86.789,119.349,148.361,170.314,-94.762,37.656,-223.360,61.329,88.622,122.103,151.827,173.615,182.169,33.946,105.435,275.399,28.108,60.191,83.220,98.706,-12.415,75.097,-211.070,193.100,198.097,232.598,254.850,272.900,11.294,76.368,-170.143,209.940,198.982,232.297,252.638,268.132,-69.648,104.245,-270.685,113.429,251.891,278.619,289.517,296.260,-352.382,64.550,-511.401,-183.734,89.048,126.655,161.507,189.214,2017-01-02 13:10:00,"[8, 9)"
22,201701021320,8.160,310.380,23.080,314.020,-1.760,321.750,7.620,-122.287,75.507,-420.469,106.879,200.792,254.910,299.561,334.343,2153.690,378.902,1416.790,3539.080,335.714,714.881,1008.290,1211.530,60.890,13.365,2.542,100.728,35.694,44.001,52.708,59.900,-9.072,34.953,-105.853,132.666,74.871,100.066,123.180,141.828,-107.773,32.252,-212.327,50.749,76.468,103.698,129.430,150.187,155.217,29.986,86.984,272.362,27.779,61.895,87.953,105.806,-11.524,81.991,-217.059,179.147,206.624,238.601,256.657,270.554,10.160,83.276,-184.308,203.414,208.602,240.972,259.400,273.446,-59.910,104.008,-276.791,118.888,245.377,272.533,283.408,290.135,-311.677,58.362,-560.108,-170.040,82.014,135.495,186.184,222.884,2017-01-02 13:20:00,"[8, 9)"
23,201701021330,8.390,311.010,23.650,311.470,-1.870,360.680,7.910,-243.353,188.917,-715.488,134.188,227.949,310.653,408.432,486.254,2277.090,281.431,1517.820,3006.710,282.917,539.437,727.363,859.064,54.191,12.904,8.695,103.012,32.559,42.604,52.062,59.067,5.278,31.558,-115.608,123.433,68.593,98.310,123.799,142.309,-106.264,30.719,-211.616,51.443,72.613,104.955,133.724,155.203,168.643,19.949,105.401,223.744,22.195,43.078,58.023,68.508,-11.831,79.513,-190.803,182.504,201.086,229.911,245.804,258.047,10.960,81.271,-184.598,193.952,203.322,231.828,247.477,259.740,-66.399,101.499,-239.545,121.973,242.697,268.386,278.540,284.616,-338.837,51.127,-478.142,-206.952,71.161,108.290,138.563,160.490,2017-01-02 13:30:00,"[8, 9)"
