,extrapolated_ws,extrapolated_power
0,2.000,-0.803
1,2.500,-0.924
2,3.000,-0.607
3,3.500,4.072
4,4.000,23.927
5,4.500,44.726
6,5.000,66.673
7,5.500,92.295
8,6.000,123.801
9,6.500,159.858
10,7.000,199.865
11,7.500,242.119
12,8.000,298.937
13,8.500,356.180
14,9.000,422.245
15,9.500,490.631
16,10.000,556.111
17,10.500,621.767
18,11.000,680.405
19,11.500,726.382
20,12.000,761.628
21,12.500,790.527
22,13.000,808.980
23,13.500,808.840
24,14.000,831.221
25,14.500,826.055
26,15.000,836.097
27,15.500,834.652
28,16.000,837.403
29,16.500,834.145
30,17.000,834.145
31,17.500,834.145
32,18.000,834.145
33,18.500,834.145
34,19.000,834.145
35,19.500,834.145
36,20.000,834.145
37,20.500,834.145
38,21.000,834.145
39,21.500,834.145
40,22.000,834.145
41,22.500,834.145
42,23.000,834.145
43,23.500,834.145
44,24.000,834.145
45,24.500,834.145
46,25.000,834.145
